Financial Year,Room Type,Town,Latitude,Longitude,Remaining Lease,Distance From Nearest Hawker,Distance From Nearest Park,Distance To Nearest Mall,Distance To Nereast School,Hawker,School,Shopping Mall,Max Selling Price,Min Selling Price,Average Selling Price
1/1/2017,2,Woodlands,1.436066981,103.7879451,95,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,189000,140000,164500
1/1/2017,3,Woodlands,1.436875128,103.7864999,95,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,318000,225000,271500
1/1/2017,3,Woodlands,1.436066981,103.7879451,95,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,318000,225000,271500
1/1/2017,4,Woodlands,1.436875128,103.7864999,95,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,401000,279000,340000
1/1/2017,4,Woodlands,1.436066981,103.7879451,95,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,401000,279000,340000
1/1/2019,1,Woodlands,1.436875128,103.7864999,97,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,128000,86000,107000
1/1/2019,1,Woodlands,1.436066981,103.7879451,97,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,128000,86000,107000
1/1/2019,2,Woodlands,1.436875128,103.7864999,97,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,194000,165000,179500
1/1/2019,2,Woodlands,1.436066981,103.7879451,97,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,194000,165000,179500
1/1/2019,3,Woodlands,1.436875128,103.7864999,97,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,295000,244000,269500
1/1/2019,3,Woodlands,1.436066981,103.7879451,97,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,295000,244000,269500
1/1/2019,4,Woodlands,1.436875128,103.7864999,97,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,383000,336000,359500
1/1/2019,4,Woodlands,1.436066981,103.7879451,97,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,383000,336000,359500
1/1/2008,1,Sengkang,1.391694626,103.8954664,86,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,95000,73000,84000
1/1/2008,2,Sengkang,1.391694626,103.8954664,86,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,162000,120000,141000
1/1/2008,3,Sengkang,1.391694626,103.8954664,86,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,275000,190000,232500
1/1/2008,4,Sengkang,1.391694626,103.8954664,86,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,367000,290000,328500
1/1/2009,1,Sengkang,1.391694626,103.8954664,87,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,98000,74000,86000
1/1/2009,2,Sengkang,1.391694626,103.8954664,87,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,171000,116000,143500
1/1/2009,3,Sengkang,1.391694626,103.8954664,87,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,271000,203000,237000
1/1/2009,4,Sengkang,1.391694626,103.8954664,87,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,352000,281000,316500
1/1/2010,1,Sengkang,1.391694626,103.8954664,88,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,120000,68000,94000
1/1/2010,2,Sengkang,1.391694626,103.8954664,88,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,232000,122000,177000
1/1/2010,3,Sengkang,1.391694626,103.8954664,88,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,359000,201000,280000
1/1/2010,4,Sengkang,1.391694626,103.8954664,88,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,444000,279000,361500
1/1/2011,1,Sengkang,1.391694626,103.8954664,89,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,112000,83000,97500
1/1/2011,2,Sengkang,1.391694626,103.8954664,89,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,220000,134000,177000
1/1/2011,3,Sengkang,1.391694626,103.8954664,89,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,370000,225000,297500
1/1/2011,4,Sengkang,1.391694626,103.8954664,89,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,456000,283000,369500
1/1/2012,2,Sengkang,1.391694626,103.8954664,90,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,264000,151000,207500
1/1/2012,3,Sengkang,1.391694626,103.8954664,90,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,403000,251000,327000
1/1/2012,4,Sengkang,1.391694626,103.8954664,90,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,499000,304000,401500
1/1/2013,1,Sengkang,1.391694626,103.8954664,91,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,124000,76000,100000
1/1/2013,2,Sengkang,1.391694626,103.8954664,91,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,189000,150000,169500
1/1/2013,3,Sengkang,1.391694626,103.8954664,91,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,329000,251000,290000
1/1/2013,4,Sengkang,1.391694626,103.8954664,91,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,425000,358000,391500
1/1/2014,1,Sengkang,1.391694626,103.8954664,92,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,135000,90000,112500
1/1/2014,2,Sengkang,1.391694626,103.8954664,92,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,208000,164000,186000
1/1/2014,3,Sengkang,1.391694626,103.8954664,92,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,335000,267000,301000
1/1/2014,4,Sengkang,1.391694626,103.8954664,92,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,0,0,0
1/1/2015,1,Sengkang,1.391694626,103.8954664,93,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,137000,80000,108500
1/1/2015,2,Sengkang,1.391694626,103.8954664,93,3.753311771,0.920316133,0.069869487,0.41173411,Market Street Food Centre,Compassvale Primary School,Compass One,202000,159000,180500
